chapter,verse_num,verse_text
3,1,"My son, do not forget my teaching, but keep my commands in your heart,"
3,2,"for they will prolong your life many years and bring you prosperity."
3,3,"Let love and faithfulness never leave you; bind them around your neck, write them on the tablet of your heart."
3,4,"Then you will win favor and a good name in the sight of God and man."
3,5,"Trust in the LORD with all your heart and lean not on your own understanding;"
3,6,"in all your ways acknowledge him, and he will make your paths straight."
3,7,"Do not be wise in your own eyes, fear the LORD and shun evil."
3,8,"This will bring health to your body and nourishment to your bones."
3,9,"Honor the LORD with your wealth, with the firstfruits of all your crops;" 
3,10,"then your barns will be filled to overflowing, and your vats will brim over with new wine."
3,11,"My son, do not despise the LORD's discipline and do not resent his rebuke,"
3,12,"because the LORD disciplines those he loves, as a father the son he delights in."
3,13,"Blessed is the man who finds wisdom, the man who gains understanding,"
3,14,"for she is more profitable than silver and yields better returns than gold."
3,15,"She is more precious than rubies; nothing you desire can compare with her."
3,16,"Long life is in her right hand; in her left hand are riches and honor."
3,17,"Her ways are pleasant ways, and all her paths are peace."
3,18,"She is a tree of life to those who embrace her; those who lay hold of her will be blessed."
3,19,"By wisdom the LORD laid the earth's foundations, by understanding he set the heavens in place;"
3,20,"by his knowledge the deeps were divided, and the clouds let drop the dew."
3,21,"My son, preserve sound judgment and discernment, do not let them out of your sight;"
3,22,"they will be life for you, an ornament to grace your neck,"
3,23,"Then you will go on your way in safety, and your foot will not stumble;"
3,24,"when you lie down, you will not be afraid; when you lie down, your sleep will be sweet."
3,25,"Have no fear of sudden disaster or of the ruin that overtakes the wicked," 
3,26,"for the LORD will be your confidence and will keep your foot from being snared."
3,27,"Do not withhold good from those who deserve it, when it is in your power to act."
3,28,"Do not say to your neighbor, 'Come back later; I'll give it tomorrow'-- when you now have it with you."
3,29,"Do not plot harm against your neighbor, who lives trustfully near you."
3,30,"Do not accuse a man for no reason-- when he has done you no harm."
3,31,"Do not envy a violent man or choose any of his ways,"
3,32,"for the LORD detests a perverse man but takes the upright into his confidence."
3,33,"The LORD's curse is on the house of the wicked, but he blesses the home of the righteous."
3,34,"He mocks proud mockers but gives grace to the humble."
3,35,"The wise inherit honor, but fools he holds up to shame."
