chapter,verse_num,verse_text
13,1,"A wise son heeds his father's instruction, but a mocker does not listen to rebuke."
13,2,"From the fruit of his lips a man enjoys good things, but the unfaithful have a craving for violence."
13,3,"He who guards his lips guards his life, but he who speaks rashly will come to ruin."
13,4,"The sluggard craves and gets nothing, but the desires of the diligent are fully satisfied."
13,5,"The righteous hate what is false, but the wicked bring shame and disgrace."
13,6,"Righteousness guards the man of integrity, but wickedness overthrows the sinner."
13,7,"One man pretends to be rich, yet has nothing; another pretends to be poor, yet has great wealth."
13,8,"A man's riches may ransom his life, but a poor man hears no threat."
13,9,"The light of the righteous shines brightly, but the lamp of the wicked is snuffed out."
13,10,"Pride only breeds quarrels, but wisdom is found in those who take advice."
13,11,"Dishonest money dwindles away, but he who gathers money little by little makes it grow."
13,12,"Hope deferred makes the heart sick, but a longing fulfiled is a tree of life."
13,13,"He who scorns instruction will pay for it, but he who respects a command is rewarded."
13,14,"The teaching of the wise is a fountain of life, turning a man from the snares of death."
13,15,"Good understanding wins favor, but the way of the unfaithful is hard."
13,16,"Every prudent man acts out of knowledge, but a fool exposes his folly."
13,17,"A wicked messenger falls into trouble, but a trustworthy envoy brings healing."
13,18,"He who ignores discipline comes to poverty and shame, but whoever heeds correction is honored."
13,19,"A longing fulfilled is sweet to the soul, but fools detest turning from evil."
13,20,"He who walks with the wise grows wise, but a companion of fools suffers harm."
13,21,"Misfortune pursues the sinner, but prosperity is the reward of the righteous."
13,22,"A good man leaves an inheritance for his children's children, but a sinner's wealth is stored up for the righteous."
13,23,"A poor man's field may produce abundant food, but injustice sweeps it away."
13,24,"He who spares the rod hates his son, but he who loves him is careful to discipline him."
13,25,"The righteous eat to their hearts content, but the stomach of the wicked goes hungry."
