chapter,verse_num,verse_text
16,1,"To man belong the plans of the heart, but from the LORD comes the reply of the tongue."
16,2,"All a man's ways seem innocent to him, but motives are weighed by the LORD."
16,3,"Commit to the LORD whatever you do, and your plans will succeed."
16,4,"The LORD works out everything for his own ends -- even the wicked for a day of disaster."
16,5,"The LORD detests all the proud of hear. Be sure of this: They will not go unpunished."
16,6,"Through love and faithfulness sin is atoned for; through the fear of the LORD a man avoids evil."
16,7,"When a man's ways are pleasing to the LORD, he makes even his enemies be at peace with him."
16,8,"Better a little with righteousness than much gain with injustice."
16,9,"In his heart a man plans his course, but the LORD determines his steps."
16,10,"The lips of a king speak as an oracle, and his mouth should not betray justice."
16,11,"Honest scales and balances are from the LORD; all the weights in the bag are of his making."
16,12,"Kings detest wrongdoing, for a throne is established through righteousness."
16,13,"Kings take pleasure in honest lips; they value a man who speaks the truth."
16,14,"A king's wrath is a messenger of death, but a wise man will appease it."
16,15,"When a king's face brightens, it means life; his favor is like a rain cloud of spring."
16,16,"How much better to get wisdom than gold, to choose understanding rather than silver!"
16,17,"The highway of the upright avoids evil; he who guards his way guards his life."
16,18,"Pride goes before destruction, a haughty spirit before a fall."
16,19,"Better to be lowly in the spirit and among the oppressed than to share plunder with the proud."
16,20,"Whoever gives heed to instruction prospers, and blessed is he who trusts in the LORD."
16,21,"The wise in heart are called discerning, and pleasant words promote instruction."
16,22,"Understanding is a fountain of life to those who have it, but folly brings punishment to fools."
16,23,"A wise man's heart guides his mouth, and his lips promote instruction."
16,24,"Pleasant words are a honeycomb, sweet to the soul and healing to the bones."
16,25,"There is a way that seems right to a man, but in the end it leads to death."
16,27,"A scoundrel plots evil, and his speech is like a scorching fire."
16,28,"A perverse man stirs up dissension, and a gossip separates close friends."
16,29,"A violent man entices his neighbor and leads him down a path that is not good."
16,30,"He who winks with his eye is plotting perversity; he who purses his lips is bent on evil."
16,31,"Gray hair is a crown of splendor; it is attained by a righteous life."
16,32,"Better a patient man than a warrior, a man who controls his temper than one who takes a city."
16,33,"The lot is cast into the lap, but its every decision is from the LORD."
