chapter,verse_num,verse_text
9,1,"Wisdom has built her house; she has hewn out its seven pillars."
9,2,"She has prepared her meats and mixed her wine; she has also set her table."
9,3,"She has sent out her maids, and she calls from the highest point of the city."
9,4,"'Let all who are simple come in here!' she says to those who lack judgment."
9,5,"'Come, eay my food and drink the wine I have mixed."
9,6,"Leave your simple ways and you will live; walk in the way of understanding."
9,7,"'Whoever corrects a mocker invites insult; whoever rebukes a wicked man incurs abuse,"
9,8,"Do not rebuke a mocker or he will hate you; rebuke a wise man and he will love you."
9,9,"Instruct a wise man and he will be wiser still; teach a righteous man and he will add to his learning."
9,10,"'The fear of the LORD is the beginning of wisdom, and knowledge of the Holy One is understanding."
9,11,"For through me your days will be many, and years will be added to your life."
9,12,"If you are wise, your wisdom will reward you; if you are a mocker, you alone will suffer.'"
9,13,"The woman Folly is loud; she is undisciplined and without knowledge."
9,14,"She sits at the door of her house, on a seat at the highest point of the city,"
9,15,"calling out to those who pass by, who go straight on their way."
9,16,"'Let all who are simple come in here!' she says to those who lack judgment."
9,17,"'Stolen water is sweet; food eaten in secret is delicious!'"
9,18,"'But little do they know that the dead are there, that her guests are in the depths of the grace."
